,Content ID,Content_Type,Category,reaction_type,Datetime,Sentiment,Score,Month
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2020-11-07 09:43:50,negative,0,November
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-01-06 19:13:01,negative,0,January
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-04-09 02:46:20,negative,0,April
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,2021-03-28 21:15:26,negative,0,March
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,2020-08-04 05:40:33,negative,0,August
5,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,2021-01-14 07:21:32,negative,0,January
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,2021-01-13 23:35:56,negative,0,January
7,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,2021-02-11 20:10:20,negative,0,February
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,2021-05-27 01:44:22,negative,0,May
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,2021-02-13 04:14:45,negative,0,February
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,disgust,2020-11-07 08:49:52,negative,0,November
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,2021-03-31 15:51:15,negative,0,March
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,2020-09-11 16:22:49,negative,0,September
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,2020-10-13 16:31:34,negative,0,October
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,2020-07-23 19:31:31,negative,0,July
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,2020-12-08 13:12:56,negative,0,December
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,2021-01-05 13:15:46,negative,0,January
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,2020-11-08 02:43:54,negative,0,November
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,2021-04-19 01:45:56,negative,0,April
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,2020-10-18 12:49:22,negative,0,October
20,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,GIF,fitness,disgust,2021-02-08 03:28:00,negative,0,February
21,f332d362-dc48-46c2-a64b-641157c0987e,GIF,soccer,disgust,2021-02-15 20:35:25,negative,0,February
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,2021-06-09 09:41:37,negative,0,June
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,2020-12-26 06:13:28,negative,0,December
24,a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,2021-06-15 17:31:50,negative,0,June
25,9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,2020-11-21 03:14:44,negative,0,November
26,9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,2021-01-01 11:23:50,negative,0,January
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,2021-04-10 09:41:43,negative,0,April
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,2020-12-14 12:53:01,negative,0,December
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,2020-10-06 10:20:38,negative,0,October
30,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,2020-08-27 15:08:16,negative,0,August
31,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,2020-09-13 08:14:15,negative,0,September
32,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,2020-08-19 03:04:41,negative,0,August
33,baa2db00-81ba-4c34-b17d-dd950bfa133b,GIF,soccer,disgust,2021-03-09 21:30:11,negative,0,March
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,2020-12-12 23:02:32,negative,0,December
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,2021-03-30 23:01:37,negative,0,March
36,f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,2020-10-22 03:40:50,negative,0,October
37,388bd9db-9d10-4f47-87c4-6db46e83bc95,video,education,disgust,2021-03-31 00:16:59,negative,0,March
38,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,2020-12-07 00:39:27,negative,0,December
39,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,2021-04-07 22:07:58,negative,0,April
40,78d0075f-895c-4a15-a35c-a921e2bb2cea,photo,studying,disgust,2020-07-06 19:29:39,negative,0,July
41,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,2020-09-11 20:55:52,negative,0,September
42,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,2020-07-26 11:28:58,negative,0,July
43,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,audio,dogs,disgust,2021-05-11 03:04:50,negative,0,May
44,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,2021-04-28 07:00:56,negative,0,April
45,34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,2020-08-05 15:37:34,negative,0,August
46,2920dccb-e06f-49fc-8049-b6d4164dfe84,GIF,veganism,disgust,2020-07-21 09:23:56,negative,0,July
47,2920dccb-e06f-49fc-8049-b6d4164dfe84,GIF,veganism,disgust,2020-06-21 14:10:42,negative,0,June
48,f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,disgust,2021-03-08 02:51:24,negative,0,March
49,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,video,food,disgust,2021-02-21 08:37:41,negative,0,February
50,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,video,food,disgust,2020-12-04 13:10:29,negative,0,December
51,74718bbf-e5a3-442f-8ca2-4a3428757fc1,video,dogs,disgust,2020-12-22 19:44:47,negative,0,December
52,74718bbf-e5a3-442f-8ca2-4a3428757fc1,video,dogs,disgust,2020-07-08 10:18:43,negative,0,July
53,74718bbf-e5a3-442f-8ca2-4a3428757fc1,video,dogs,disgust,2020-10-22 15:01:57,negative,0,October
54,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,video,cooking,disgust,2021-01-17 23:43:53,negative,0,January
55,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,video,cooking,disgust,2020-06-23 11:28:25,negative,0,June
56,eec5e521-4c28-4e8a-93a9-d544803fad7e,audio,food,disgust,2020-10-10 23:55:45,negative,0,October
57,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,disgust,2020-08-01 08:00:05,negative,0,August
58,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,photo,technology,disgust,2020-10-06 11:27:42,negative,0,October
59,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-06-30 23:11:07,negative,0,June
60,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2021-01-16 01:40:32,negative,0,January
61,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2021-05-21 14:58:32,negative,0,May
62,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-10-01 07:34:15,negative,0,October
63,457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-07-07 12:17:02,negative,0,July
64,4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,disgust,2020-09-08 15:30:59,negative,0,September
65,ab4c4756-1c50-4136-bad9-3216e01ffac2,audio,fitness,disgust,2021-04-24 11:52:10,negative,0,April
66,ab4c4756-1c50-4136-bad9-3216e01ffac2,audio,fitness,disgust,2021-03-18 22:16:29,negative,0,March
67,4478d98e-43e8-4dc0-884d-c1115aa8b970,audio,animals,disgust,2020-07-05 20:02:47,negative,0,July
68,34f73132-fff6-4f01-a5ec-4b4b66461fc7,photo,fitness,disgust,2020-11-12 19:22:27,negative,0,November
69,34f73132-fff6-4f01-a5ec-4b4b66461fc7,photo,fitness,disgust,2020-09-21 08:22:31,negative,0,September
70,34f73132-fff6-4f01-a5ec-4b4b66461fc7,photo,fitness,disgust,2021-04-18 13:09:49,negative,0,April
71,34f73132-fff6-4f01-a5ec-4b4b66461fc7,photo,fitness,disgust,2021-01-27 15:57:15,negative,0,January
72,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,photo,veganism,disgust,2020-12-06 06:14:00,negative,0,December
73,220d9dc1-f8a5-422d-b200-3819f3b89b2b,video,dogs,disgust,2020-06-26 16:08:58,negative,0,June
74,220d9dc1-f8a5-422d-b200-3819f3b89b2b,video,dogs,disgust,2021-05-18 09:59:31,negative,0,May
75,220d9dc1-f8a5-422d-b200-3819f3b89b2b,video,dogs,disgust,2021-02-22 18:10:29,negative,0,February
76,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,2020-09-01 06:27:20,negative,0,September
77,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,2020-10-27 14:22:41,negative,0,October
78,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,GIF,healthy eating,disgust,2021-03-25 11:15:29,negative,0,March
79,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,GIF,studying,disgust,2021-02-07 18:56:09,negative,0,February
80,14ed7f7b-2c96-4458-8a39-606c25c14180,video,tennis,disgust,2021-02-24 03:44:05,negative,0,February
81,c01fa154-5348-4040-9d20-0bbf01f6349b,GIF,tennis,disgust,2020-11-24 19:10:07,negative,0,November
82,c01fa154-5348-4040-9d20-0bbf01f6349b,GIF,tennis,disgust,2021-01-22 16:02:50,negative,0,January
83,c01fa154-5348-4040-9d20-0bbf01f6349b,GIF,tennis,disgust,2021-03-28 13:07:56,negative,0,March
84,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-09-03 10:59:45,negative,0,September
85,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-11-10 07:27:45,negative,0,November
86,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2021-01-25 00:52:11,negative,0,January
87,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-06-26 18:09:24,negative,0,June
88,50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2021-01-20 19:32:40,negative,0,January
89,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2020-10-24 10:08:27,negative,0,October
90,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2020-08-07 09:07:19,negative,0,August
91,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2021-01-16 05:51:58,negative,0,January
92,e442899c-d2d6-4392-be2d-a0b916ae47fb,video,technology,disgust,2020-09-21 09:10:22,negative,0,September
93,e442899c-d2d6-4392-be2d-a0b916ae47fb,video,technology,disgust,2021-02-04 07:27:14,negative,0,February
94,e442899c-d2d6-4392-be2d-a0b916ae47fb,video,technology,disgust,2021-05-26 13:22:56,negative,0,May
95,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,video,science,disgust,2020-12-20 01:10:46,negative,0,December
96,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,video,science,disgust,2021-06-03 02:16:45,negative,0,June
97,82145a60-013e-4d96-81a5-399af8618158,audio,food,disgust,2021-02-03 23:56:34,negative,0,February
98,82145a60-013e-4d96-81a5-399af8618158,audio,food,disgust,2020-07-22 21:59:31,negative,0,July
99,d852b946-01e1-44fe-abd7-26198660cbdb,GIF,food,disgust,2020-09-10 10:21:40,negative,0,September
100,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,GIF,healthy eating,disgust,2021-02-08 05:08:45,negative,0,February
101,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,GIF,healthy eating,disgust,2021-04-23 03:13:45,negative,0,April
102,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,video,culture,disgust,2020-07-15 19:23:08,negative,0,July
103,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,video,culture,disgust,2021-02-12 16:04:02,negative,0,February
104,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,video,culture,disgust,2020-06-25 05:15:12,negative,0,June
105,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,GIF,soccer,disgust,2021-05-17 13:47:25,negative,0,May
106,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,GIF,soccer,disgust,2021-04-29 18:04:17,negative,0,April
107,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,GIF,soccer,disgust,2020-12-15 03:05:33,negative,0,December
108,026973ef-4b73-4901-9160-bc9e04516057,audio,culture,disgust,2020-12-27 23:36:09,negative,0,December
109,026973ef-4b73-4901-9160-bc9e04516057,audio,culture,disgust,2020-10-20 13:31:02,negative,0,October
110,f08bdab2-b888-484e-8fd9-919e6ed86c12,audio,education,disgust,2021-03-25 19:36:23,negative,0,March
111,258bb775-3c35-4eec-90f3-8b75a52e466a,photo,education,disgust,2020-11-26 14:04:36,negative,0,November
112,258bb775-3c35-4eec-90f3-8b75a52e466a,photo,education,disgust,2021-06-07 04:28:23,negative,0,June
113,8d32243c-2dd1-4128-bde1-d643207e582c,photo,studying,disgust,2020-12-03 11:30:02,negative,0,December
